tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
10116	Rattus norvegicus	266682	0	live	Cyp3a2	Cyp3a11	cytochrome P450, family 3, subfamily a, polypeptide 2	cytochrome P450 3A2|CYPIIIA2|P450-PCN2|P450/6-beta-A|cytochrome P450, family 3, subfamily a, polypeptide 11|cytochrome P450-PCN2|cytochrome P450/6-beta-A|testosterone 6-beta-hydroxylase	12p11	12	NC_051347.1	9207986	9230038	minus	13		
10090	Mus musculus	13094	0	live	Cyp2b9	Cyp2b	cytochrome P450, family 2, subfamily b, polypeptide 9	cytochrome P450 2B9|16alphaoh-a|CYPIIB9|cytochrome P450 clone PF26|cytochrome P450, 2b9, phenobarbitol inducible, type a|cytochrome P450-16-alpha|phenobarbitol inducible, type a|testosterone 16-alpha hydroxylase	7 14.11 cM	7	NC_000073.7	25872775	25910086	plus	11		
9823	Sus scrofa	100325603	0	live	TEST		Testosterone level		13 59.1 cM	13							
9823	Sus scrofa	100325230	0	live	TEST		Testosterone level		7 77.2 cM	7							
9606	Homo sapiens	7923	0	live	HSD17B8	D6S2245E, FABG, FABGL, H2-KE6, HKE6, KE6, RING2, SDR30C1, dJ1033B10.9	hydroxysteroid 17-beta dehydrogenase 8	(3R)-3-hydroxyacyl-CoA dehydrogenase|17-beta-HSD 8|17-beta-hydroxysteroid dehydrogenase 8|3-ketoacyl-[acyl-carrier-protein] reductase alpha subunit|3-oxoacyl-[acyl-carrier-protein] reductase|KAR alpha subunit|estradiol 17-beta-dehydrogenase 8|estrogen 17-oxidoreductase|ke-6|protein Ke6|really interesting new gene 2 protein|short chain dehydrogenase/reductase family 30C member 1|testosterone 17-beta-dehydrogenase 8	6p21.32	6	NC_000006.12	33204655	33206831	plus	9	601417	
10090	Mus musculus	14979	0	live	Hsd17b8	D17H6S112E, H-2Ke6, H2-Ke6, Ke-6, Ke6, Ring2	hydroxysteroid 17-beta dehydrogenase 8	(3R)-3-hydroxyacyl-CoA dehydrogenase|17-beta-HSD 8|17-beta-hydroxysteroid dehydrogenase 8|3-ketoacyl-[acyl-carrier-protein] reductase alpha subunit|3-oxoacyl-[acyl-carrier-protein] reductase|H2-K region expressed gene 6|KAR alpha subunit|estradiol 17-beta-dehydrogenase 8|estrogen 17-oxidoreductase|testosterone 17-beta-dehydrogenase 8	17 17.98 cM	17	NC_000083.7	34245007	34247029	minus	9		
10116	Rattus norvegicus	79243	0	live	Hsd17b2		hydroxysteroid (17-beta) dehydrogenase 2	estradiol 17-beta-dehydrogenase 2|17-beta-HSD 2|17-beta-hydroxysteroid dehydrogenase 2|17-beta-hydroxysteroid dehydrogenase type 2|testosterone 17-beta-dehydrogenase	19q12	19	NC_051354.1	45753576	45825203	plus	5		
10090	Mus musculus	15486	0	live	Hsd17b2		hydroxysteroid (17-beta) dehydrogenase 2	estradiol 17-beta-dehydrogenase 2|17 HSD type 2|17-beta-HSD 2|17-beta-hydroxysteroid dehydrogenase 2|17-beta-hydroxysteroid dehydrogenase type 2|testosterone 17-beta-dehydrogenase	8 E1	8	NC_000074.7	118427721	118485769	plus	6		
9606	Homo sapiens	55840	0	live	EAF2	BM040, TRAITS, U19	ELL associated factor 2	ELL-associated factor 2|testosterone-regulated apoptosis inducer and tumor suppressor protein	3q13.33	3	NC_000003.12	121835209	121886526	plus	9	607659	
10090	Mus musculus	110959	0	live	Nudt19	D7Rp2, D7Rp2-r, D7Rp2-s, D7Rp2e, RP2-r, RP2-s	nudix hydrolase 19	acyl-coenzyme A diphosphatase NUDT19|RP2p|androgen regulated gene RP2|androgen-regulated protein RP2|nucleoside diphosphate-linked moiety X motif 19, mitochondrial|nudix (nucleoside diphosphate linked moiety X)-type motif 19|nudix motif 19|renal CoA diphosphohydrolase|testosterone-regulated RP2 protein	7 21.37 cM	7	NC_000073.7	35246610	35258345	minus	3		
10090	Mus musculus	106389	0	live	Eaf2	FESTA-L, FESTA-S, Festa, Traits, U19	ELL associated factor 2	ELL-associated factor 2|ehrlich S-II transcriptional activator factor|testosterone regulated apoptosis inducer and tumor suppressor|testosterone-regulated apoptosis inducer and tumor suppressor protein	16 B3	16	NC_000082.7	36613246	36695275	minus	8		
10090	Mus musculus	13086	0	live	Cyp2a4	Cyp15a1, D7Ucla4	cytochrome P450, family 2, subfamily a, polypeptide 4	cytochrome P450 2A4|CYPIIA4|cytochrome P450, 2a4|cytochrome P450-15-alpha|cytochrome P450-IIA3.1|testosterone 15-alpha-hydroxylase|testosterone 15alpha-hydroxylase	7 14.39 cM	7	NC_000073.7	26006617	26014513	plus	9		
9606	Homo sapiens	441282	0	live	AKR1B15	AKR1B10L, AKR1B10L, AK1R1B7, AKR1R1B7	aldo-keto reductase family 1 member B15	aldo-keto reductase family 1 member B15|estradiol 17-beta-dehydrogenase AKR1B15|farnesol dehydrogenase|putative aldo-keto reductase family 1 member B15|testosterone 17beta-dehydrogenase	7q33	7	NC_000007.14	134549110	134579869	plus	12	616336	
10090	Mus musculus	13105	0	live	Cyp2d9	Cyp2d, P450-2D	cytochrome P450, family 2, subfamily d, polypeptide 9	cytochrome P450 2D9|CYPIID9|cytochrome P450, 2d9|cytochrome P450-16-alpha|cytochrome P450CA|testosterone 16-alpha hydroxylase|testosterone 16alpha-hydroxylase	15 38.6 cM	15	NC_000081.7	82336578	82341028	plus	9		
10116	Rattus norvegicus	266685	0	live	Ugt2b15	Rlug38, UDPGT 2B5, Udpgt, Udpgtr-3, Ugt2b17, Ugt2b3, Ugt2b5	UDP glucuronosyltransferase family 2 member B15	UDP-glucuronosyltransferase 2B17|17-beta-hydroxysteroid specific|17-beta-hydroxysteroid-specific UDPGT|UDP glucuronosyltransferase 2 family, polypeptide B15|UDP glucuronosyltransferase 2 family, polypeptide B17|UDP glucuronosyltransferase 2 family, polypeptide B5|UDP glycosyltransferase 2 family, member 3|UDP-glucuronosyltransferase 2A3-like|UDP-glucuronosyltransferase 2B17-like|UDP-glucuronosyltransferase 2B3 precursor, microsomal|UDP-glucuronosyltransferase 2B5|UDPGT 2B17|UDPGT 2B3|liver 17 beta-hydroxysteroid UDP-glucuronosyltransferase|testosterone, dihydrotestosterone, and beta-estradiol specific|testosterone, dihydrotestosterone, and beta-estradiol-specific UDPGT	14p21	14	NC_051349.1	20768015	20783599	plus	6		
10116	Rattus norvegicus	361802	0	live	Hsd17b8	Fabgl, Ke6, RING2	hydroxysteroid (17-beta) dehydrogenase 8	(3R)-3-hydroxyacyl-CoA dehydrogenase|estradiol 17-beta-dehydrogenase 8|17-beta-HSD 8|17-beta-hydroxysteroid dehydrogenase 8|3-ketoacyl-[acyl-carrier-protein] reductase alpha subunit|3-oxoacyl-[acyl-carrier-protein] reductase|KAR alpha subunit|testosterone 17-beta-dehydrogenase 8	20p12	20	NC_051355.1	4826725	4828742	plus	8		
7962	Cyprinus carpio	109102469	0	live	LOC109102469	hsd17b3	testosterone 17-beta-dehydrogenase 3	testosterone 17-beta-dehydrogenase 3|hydroxysteroid 17-beta dehydrogenase 3		B8	NC_056604.1	14786164	14800762	plus	13		
9615	Canis lupus familiaris	442971	0	live	CLU	GP80	clusterin	clusterin|clusterin (complement lysis inhibitor, SP-40,40, sulfated glycoprotein 2, testosterone-repressed prostate message 2, apolipoprotein J)|glycoprotein 80		25	NC_051829.1	30173217	30190014	plus	9		
10116	Rattus norvegicus	24895	0	live	Cyp2a2	CYP2A21, RATCYP2A21	cytochrome P450, family 2, subfamily a, polypeptide 2	cytochrome P450 2A2|CYPIIA2|Cytochrome P450 IIA2|P450-UT-4|cytochrome P450, subfamily 2A, polypeptide 1|cytochrome P450, subfamily 2A, polypeptide 2|cytochrome P450-UT-4|hepatic steroid hydroxylase IIA2 (CYP2A2)|testosterone 15-alpha-hydroxylase	1q21	1	NC_051336.1	82263833	82289487	plus	9		
10116	Rattus norvegicus	192211	0	live	Prom2	Prom-rp, Promrp, Trprp	prominin 2	prominin-2|PROM-2|prominin-like protein 2|prominin-related protein|rPROML2|testosterone-regulated prominin-related protein	3q36	3	NC_051338.1	114747654	114761787	minus	24		
7955	Danio rerio	393775	0	live	clu	zgc:73352	clusterin	clusterin|clusterin (complement lysis inhibitor, SP-40,40, sulfated glycoprotein 2, testosterone-repressed prostate message 2, apolipoprotein J)		20	NC_007131.7	39260608	39273884	minus	9		
8010	Esox lucius	105014100	0	live	hsd17b3	DHB3	hydroxysteroid (17-beta) dehydrogenase 3	17-beta-hydroxysteroid dehydrogenase type 3|testosterone 17-beta-dehydrogenase 3|Testosterone 17-beta-dehydrogenase 3		13	NC_047581.1	11724771	11753822	plus	14		
8019	Oncorhynchus kisutch	109882607	0	live	LOC109882607	hsd17b3	testosterone 17-beta-dehydrogenase 3	testosterone 17-beta-dehydrogenase 3|hydroxysteroid 17-beta dehydrogenase 3		LG3	NC_034176.2	39323564	39356246	plus	10		
32473	Xiphophorus couchianus	114153381	0	live	LOC114153381		testosterone 17-beta-dehydrogenase 3-like	testosterone 17-beta-dehydrogenase 3-like|very-long-chain 3-oxoacyl-CoA reductase-like		11	NC_040238.1	19558487	19570123	plus	15		
10090	Mus musculus	13085	0	live	Cyp2a12		cytochrome P450, family 2, subfamily a, polypeptide 12	cytochrome P450 2A12|CYPIIA12|cytochrome P450, 2a12|steroid hormones 7-alpha-hydroxylase|testosterone 7-alpha-hydroxylase	7 A3	7	NC_000073.7	26728515	26736243	plus	9		
10116	Rattus norvegicus	266787	0	live	Eaf2	Traits	ELL associated factor 2	ELL-associated factor 2|testosterone regulated apoptosis inducer and tumor suppressor|testosterone-regulated apoptosis inducer and tumor suppressor protein	11q21	11	NC_051346.1	63960200	64004610	plus	6		
9615	Canis lupus familiaris	607895	0	live	HSD17B8		hydroxysteroid 17-beta dehydrogenase 8	(3R)-3-hydroxyacyl-CoA dehydrogenase|estradiol 17-beta-dehydrogenase 8|17-beta-HSD 8|17-beta-hydroxysteroid dehydrogenase 8|3-ketoacyl-[acyl-carrier-protein] reductase alpha subunit|3-oxoacyl-[acyl-carrier-protein] reductase|Estradiol 17-beta-dehydrogenase 8|KAR alpha subunit|Testosterone 17-beta-dehydrogenase 8		12	NC_051816.1	2998414	3000653	plus	9		
9823	Sus scrofa	100154372	0	live	HSD17B8	FABGL, HKE6, KE6, Ke-6	hydroxysteroid 17-beta dehydrogenase 8	(3R)-3-hydroxyacyl-CoA dehydrogenase|estradiol 17-beta-dehydrogenase 8|17-beta-HSD 8|17-beta-hydroxysteroid dehydrogenase 8|3-ketoacyl-[acyl-carrier-protein] reductase alpha subunit|3-oxoacyl-[acyl-carrier-protein] reductase|Estradiol 17-beta-dehydrogenase 8|FabG-like protein FABGL|KAR alpha subunit|Protein Ke6|Testosterone 17-beta-dehydrogenase 8		7	NC_010449.5	25247577	25249786	plus	9		
10181	Heterocephalus glaber	101712135	0	live	Hsd17b3	GW7_00806	hydroxysteroid 17-beta dehydrogenase 3	testosterone 17-beta-dehydrogenase 3|Testosterone 17-beta-dehydrogenase 3		Un	NW_004624753.1	17770326	17832560	minus	13		
59861	Coregonus clupeaformis	121557519	0	live	LOC121557519		testosterone 17-beta-dehydrogenase 3	testosterone 17-beta-dehydrogenase 3		18	NC_059209.1	30747382	30807166	plus	13		
8023	Oncorhynchus nerka	115140278	0	live	LOC115140278		testosterone 17-beta-dehydrogenase 3-like	testosterone 17-beta-dehydrogenase 3-like		LG13	NC_042547.1	61185750	61202136	plus	11		
74940	Oncorhynchus tshawytscha	112248700	0	live	LOC112248700		testosterone 17-beta-dehydrogenase 3-like	testosterone 17-beta-dehydrogenase 3-like		LG04	NC_056432.1	39403712	39426674	plus	11		
38626	Phascolarctos cinereus	110203631	0	live	LOC110203631		testosterone 17-beta-dehydrogenase 3-like	testosterone 17-beta-dehydrogenase 3-like		Un	NW_018344392.1	29094	39023	plus	7		
10116	Rattus norvegicus	24894	0	live	Cyp2a1	RATCYP2A1, Shdl	cytochrome P450, family 2, subfamily a, polypeptide 1	cytochrome P450 2A1|CYPIIA1|P450-UT-F|cytochrome P450 IIA1 (hepatic steroid hydroxylase IIA1)|cytochrome P450-UT-F|steroid hormones 7-alpha-hydroxylase|steroid hydroxylase, hepatic|testosterone 7-alpha-hydroxylase	1q21	1	NC_051336.1	82231611	82244887	plus	9		
8030	Salmo salar	106585149	0	live	hsd17b3	DHB3	hydroxysteroid (17-beta) dehydrogenase 3	testosterone 17-beta-dehydrogenase 3|Testosterone 17-beta-dehydrogenase 3		ssa24	NC_059465.1	8348649	8374904	minus	12		
7868	Callorhinchus milii	103182831	0	live	hsd17b3		hydroxysteroid (17-beta) dehydrogenase 3	17-beta-hydroxysteroid dehydrogenase type 3|testosterone 17-beta-dehydrogenase 3|Testosterone 17-beta-dehydrogenase 3		Un	NW_024704742.1	93541667	93567913	minus	13		
3075	Auxenochlorella protothecoides	23617596	0	live	F751_6205	F751_6205	Testosterone 17-beta-dehydrogenase 3			Unknown							
90988	Pimephales promelas	120484683	0	live	hsd17b3	F2P79_001095	hydroxysteroid (17-beta) dehydrogenase 3	testosterone 17-beta-dehydrogenase 3|testosterone 17-beta-dehydrogenase		Un	NW_024121099.1	51074375	51093933	minus	11		
9838	Camelus dromedarius	105084686	0	live	HSD17B3	Cadr_000030154	hydroxysteroid 17-beta dehydrogenase 3	testosterone 17-beta-dehydrogenase 3|Testosterone 17-beta-dehydrogenase 3		Un	NW_022188690.1	6596835	6620779	minus	11		
109478	Myotis brandtii	102256012	0	live	HSD17B3	D623_10015815	hydroxysteroid 17-beta dehydrogenase 3	testosterone 17-beta-dehydrogenase 3|Testosterone 17-beta-dehydrogenase 3		Un	NW_005366075.1	1735925	1793603	minus	12		
10029	Cricetulus griseus	100767644	0	live	Hsd17b3	I79_025069	hydroxysteroid 17-beta dehydrogenase 3	testosterone 17-beta-dehydrogenase 3|Testosterone 17-beta-dehydrogenase 3		3	NW_003618255.1	14650	37718	plus	9		
74035	Arthroderma uncinatum	54308303	0	live	GIQ15_03192	GIQ15_03192	testosterone 17-beta-dehydrogenase 3	testosterone 17-beta-dehydrogenase 3		Unknown							
535722	Nannizzia gypsea CBS 118893	10030483	0	live	MGYG_02708	MGYG_02708	testosterone 17-beta-dehydrogenase 3			Unknown							
554155	Microsporum canis CBS 113480	9224989	0	live	MCYG_05611	MCYG_05611	testosterone 17-beta-dehydrogenase 3	testosterone 17-beta-dehydrogenase 3		Unknown							
8030	Salmo salar	106580550	0	live	LOC106580550	DHB3	testosterone 17-beta-dehydrogenase 3	testosterone 17-beta-dehydrogenase 3		ssa20	NC_059461.1	37733298	37744651	plus	11		
55291	Polypterus senegalus	120525125	0	live	LOC120525125		testosterone 17-beta-dehydrogenase 3-like	testosterone 17-beta-dehydrogenase 3-like|very-long-chain 3-oxoacyl-CoA reductase-like		3	NC_053156.1	49217302	49344989	plus	12		
8032	Salmo trutta	115200402	0	live	LOC115200402		testosterone 17-beta-dehydrogenase 3-like	testosterone 17-beta-dehydrogenase 3-like		9	NC_042965.1	31474187	31486807	plus	11		
7957	Carassius auratus	113096377	0	live	LOC113096377		testosterone 17-beta-dehydrogenase 3-like	testosterone 17-beta-dehydrogenase 3-like		Un	NW_020528306.1	1772107	1787036	minus	11		
74940	Oncorhynchus tshawytscha	112265325	0	live	LOC112265325		testosterone 17-beta-dehydrogenase 3-like	testosterone 17-beta-dehydrogenase 3-like		LG12	NC_056440.1	18153080	18166367	minus	12		
441894	Struthio camelus australis	104141818	0	live	LOC104141818	N308_15119	testosterone 17-beta-dehydrogenase 3-like	testosterone 17-beta-dehydrogenase 3-like|Testosterone 17-beta-dehydrogenase 3		Un	NW_009270912.1	31770	57761	plus	11		
9371	Echinops telfairi	101645865	0	live	LOC101645865		testosterone 17-beta-dehydrogenase 3-like	testosterone 17-beta-dehydrogenase 3-like		Un	NW_022104553.1	26654933	26666453	plus	12		
10090	Mus musculus	13101	0	live	Cyp2d10	Cyp2d, P450-2D	cytochrome P450, family 2, subfamily d, polypeptide 10	cytochrome P450 2D10|CYPIID10|cytochrome P450, 2d10|cytochrome P450-16-alpha|cytochrome P450CB|testosterone 16-alpha hydroxylase	15 38.58 cM	15	NC_000081.7	82287046	82291449	minus	9		
9031	Gallus gallus	395722	0	live	CLU	SP-40	clusterin	clusterin|apolipoprotein J)|clusterin (complement lysis inhibitor, SP-40,40, sulfated glycoprotein 2, testosterone-repressed prostate message 2, apolipoprotein J)|sulfated glycoprotein 2|testosterone-repressed prostate message 2		3	NC_052534.1	105000169	105007013	plus	10		
72004	Bos mutus	102284785	0	live	HSD17B3	M91_06919	hydroxysteroid 17-beta dehydrogenase 3	testosterone 17-beta-dehydrogenase 3|Testosterone 17-beta-dehydrogenase 3		Un	NW_005393706.1	952371	1007253	minus	11		
215358	Larimichthys crocea	104920662	0	live	hsd17b3	EH28_11271	hydroxysteroid (17-beta) dehydrogenase 3	testosterone 17-beta-dehydrogenase 3|Testosterone 17-beta-dehydrogenase 3		III	NC_040013.1	32244523	32252554	minus	11		
9244	Calypte anna	103539421	0	live	HSD17B3	N300_12324	hydroxysteroid 17-beta dehydrogenase 3	testosterone 17-beta-dehydrogenase 3|Testosterone 17-beta-dehydrogenase 3		Z	NC_044274.1	32936491	32957978	plus	11		
9402	Pteropus alecto	102883847	0	live	HSD17B3	PAL_GLEAN10003689	hydroxysteroid 17-beta dehydrogenase 3	testosterone 17-beta-dehydrogenase 3|Testosterone 17-beta-dehydrogenase 3		Un	NW_006441525.1	446834	483415	plus	11		
246437	Tupaia chinensis	102477731	0	live	HSD17B3	TREES_T100011275	hydroxysteroid 17-beta dehydrogenase 3	testosterone 17-beta-dehydrogenase 3|Testosterone 17-beta-dehydrogenase 3		Un	NW_006205008.1	1737675	1766990	minus	9		
8839	Anas platyrhynchos	101797428	0	live	HSD17B3	Anapl_16059	hydroxysteroid 17-beta dehydrogenase 3	testosterone 17-beta-dehydrogenase 3|Testosterone 17-beta-dehydrogenase 3		Z	NC_051804.1	44886345	44910275	minus	11		
6279	Brugia malayi	6099623	0	live	Bma-eaf-1	BM_BM3001, Bm1_23580	testosterone regulated apoptosis inducer and tumor suppressor, putative	testosterone regulated apoptosis inducer and tumor suppressor, putative		Unknown							
8022	Oncorhynchus mykiss	110536292	0	live	LOC110536292		testosterone 17-beta-dehydrogenase 3	testosterone 17-beta-dehydrogenase 3		11	NC_048575.1	68590709	68611500	plus	11		
6954	Dermatophagoides farinae	124493461	0	live	LOC124493461		testosterone 17-beta-dehydrogenase 3-like	testosterone 17-beta-dehydrogenase 3-like		Un	NW_025814793.1	1011156	1013076	plus	3		
8017	Oncorhynchus gorbuscha	124036524	0	live	LOC124036524		testosterone 17-beta-dehydrogenase 3-like	testosterone 17-beta-dehydrogenase 3-like		LG05	NC_060177.1	77022892	77037970	plus	11		
191870	Gracilinanus agilis	123255502	0	live	LOC123255502		testosterone 17-beta-dehydrogenase 3-like	testosterone 17-beta-dehydrogenase 3-like		Un	NW_025381934.1	7	1016	minus	3		
111838	Microtus oregoni	121453685	0	live	LOC121453685		testosterone 17-beta-dehydrogenase 3-like	testosterone 17-beta-dehydrogenase 3-like		Un	NW_024543070.1	44096098	44120405	plus	11		
111838	Microtus oregoni	121443355	0	live	LOC121443355		testosterone 17-beta-dehydrogenase 3-like	testosterone 17-beta-dehydrogenase 3-like		Un	NW_024544720.1	1625371	1650621	minus	11		
88082	Crotalus tigris	120310088	0	live	LOC120310088		testosterone 17-beta-dehydrogenase 3-like	testosterone 17-beta-dehydrogenase 3-like		Un	NW_024096835.1	26087	37639	plus	7		
88082	Crotalus tigris	120300812	0	live	LOC120300812		testosterone 17-beta-dehydrogenase 3-like	testosterone 17-beta-dehydrogenase 3-like		Un	NW_024096513.1	5094417	5129593	plus	6		
8040	Salvelinus namaycush	120063373	0	live	LOC120063373		testosterone 17-beta-dehydrogenase 3-like	testosterone 17-beta-dehydrogenase 3-like		18	NC_052324.1	33191784	33205986	plus	11		
8040	Salvelinus namaycush	120055107	0	live	LOC120055107		testosterone 17-beta-dehydrogenase 3-like	testosterone 17-beta-dehydrogenase 3-like		1	NC_052307.1	36501580	36532361	plus	11		
7396	Glossina fuscipes	119635506	0	live	LOC119635506	GQX74_010515	testosterone 17-beta-dehydrogenase 3-like	testosterone 17-beta-dehydrogenase 3-like		Un	NW_023998421.1	7768339	7771646	plus	3		
7906	Acipenser ruthenus	117973203	0	live	LOC117973203		testosterone 17-beta-dehydrogenase 3-like	testosterone 17-beta-dehydrogenase 3-like		1	NC_048323.1	107762924	107780185	plus	4		
7906	Acipenser ruthenus	117968139	0	live	LOC117968139		testosterone 17-beta-dehydrogenase 3-like	testosterone 17-beta-dehydrogenase 3-like		Un	NW_023260646.1	1127281	1147371	minus	9		
7906	Acipenser ruthenus	117419279	0	live	LOC117419279		testosterone 17-beta-dehydrogenase 3-like	testosterone 17-beta-dehydrogenase 3-like		1	NC_048323.1	96211331	96220702	plus	7		
7906	Acipenser ruthenus	117411678	0	live	LOC117411678	hsd17b3	testosterone 17-beta-dehydrogenase 3	testosterone 17-beta-dehydrogenase 3|hydroxysteroid (17-beta) dehydrogenase 3		2	NC_048324.1	16236215	16257896	minus	6		
8084	Xiphophorus hellerii	116728620	0	live	LOC116728620		testosterone 17-beta-dehydrogenase 3-like	testosterone 17-beta-dehydrogenase 3-like		11	NC_045682.1	13203268	13208878	plus	13		
279965	Antrostomus carolinensis	114818492	0	live	LOC114818492		testosterone 17-beta-dehydrogenase 3-like	testosterone 17-beta-dehydrogenase 3-like		Un	NW_010310008.1	450	17601	minus	5		
279965	Antrostomus carolinensis	114818478	0	live	LOC114818478		testosterone 17-beta-dehydrogenase 3-like	testosterone 17-beta-dehydrogenase 3-like		Un	NW_010308797.1	6181	9672	minus	5		
8036	Salvelinus alpinus	111957416	0	live	LOC111957416		testosterone 17-beta-dehydrogenase 3	testosterone 17-beta-dehydrogenase 3		LG33	NC_036872.1	30331942	30345685	plus	11		
10181	Heterocephalus glaber	110347267	0	live	LOC110347267		testosterone 17-beta-dehydrogenase 3-like	testosterone 17-beta-dehydrogenase 3-like		Un	NW_004624907.1	1990004	2006232	minus	10		
38626	Phascolarctos cinereus	110220067	0	live	LOC110220067		testosterone 17-beta-dehydrogenase 3-like	testosterone 17-beta-dehydrogenase 3-like		Un	NW_018344052.1	10638173	10656150	plus	13		
38626	Phascolarctos cinereus	110204542	0	live	LOC110204542		testosterone 17-beta-dehydrogenase 3-like	LOW QUALITY PROTEIN: testosterone 17-beta-dehydrogenase 3-like		Un	NW_018345156.1	31	24056	minus	12		
38626	Phascolarctos cinereus	110204536	0	live	LOC110204536		testosterone 17-beta-dehydrogenase 3-like	LOW QUALITY PROTEIN: testosterone 17-beta-dehydrogenase 3-like		Un	NW_018345151.1	7927	24105	minus	11		
